class_id,course_code,professor,day,time
40098,FIN 310,Patrick Singkamanand,Mon ,17:30
40217,FIN 315,Seung Hee Choi,Tues Fri,09:30
40075,FIN 320,Herbert Mayo,Mon Thurs ,14:00
40085,FIN 320,Herbert Mayo,Mon Thurs ,12:30
40078,FIN 330,Seung Hee Choi,Tues Fri,08:00
40083,FIN 330,Tae-Nyun Kim,Mon Thurs ,09:30
40089,FIN 330,Nonna Sorokina,Mon Thurs ,09:30
40080,FIN 340,Susan Hume,Mon Thurs ,09:30
40081,FIN 360,Nonna Sorokina,Mon Thurs ,11:00
40090,FIN 360,Eric Szabo,Wed ,18:00
40216,FIN 360,Nonna Sorokina,Mon Thurs ,14:00
42067,FIN 391,Herbert Mayo,Tues Fri,11:00
42069,FIN 391,Thomas Patrick,Wed ,16:00
42070,FIN 391,Thomas Patrick,Wed ,16:00
40076,FIN 410,Herbert Mayo,Tues Fri,13:00
40079,FIN 430,Thomas Patrick,Wed ,17:00
40082,FIN 430,Thomas Patrick,Thurs ,17:30
42078,FIN 495,Seung Hee Choi,Tues Fri,14:00
40240,HES 151,Laura Bruno,Tues Fri,09:30
42676,HES 152,Tracy Radler,Mon ,17:00
40257,HES 160,John Farrell,Mon Thurs ,12:30
40262,HES 172,Jill Bush-Wallace,Tues Fri,12:30
40266,HES 183,Joseph Russo,Mon Thurs ,11:00
40269,HES 183,Joseph Russo,Mon Thurs ,09:30
42749,HES 183,Richard Galante,Tues Fri,09:30
42750,HES 183,Richard Galante,Tues Fri,11:00
40241,HES 203,John Farrell,Mon Wed Thurs ,08:00
40243,HES 205,John Farrell,Mon Wed Thurs ,09:30
40260,HES 205,John Farrell,Mon Wed Thurs ,11:00
42687,HES 210,Nicholas Ratamess,Mon Thurs ,08:00
42688,HES 210,Nicholas Ratamess,Mon Thurs ,09:30
40246,HES 211,Jie Kang,Mon Thurs ,12:30
40254,HES 211,Jie Kang,Mon Thurs ,14:00
40247,HES 250,Jie Kang,Mon Thurs ,11:00
40268,HES 260,Laura Bruno,Tues Fri,11:00
40263,HES 270,Anne Farrell,Mon Thurs ,07:30
40258,HES 280,Anne Farrell,Mon Wed Thurs ,09:30
40275,HES 300,Avery Faigenbaum,Mon Thurs ,07:30
40265,HES 301,Nicholas Ratamess,Tues Fri,11:00
42905,HES 301,Nicholas Ratamess,Tues Fri,11:00
40244,HES 302,Jill Bush-Wallace,Tues Fri,07:30
40270,HES 320,Jill Bush-Wallace,Tues Fri,09:30
42903,HES 320,Jill Bush-Wallace,Tues Fri,09:30
40256,HES 351,Joanne Smith-Tavener,Tues ,17:00
40252,HES 351,Joanne Smith-Tavener,Tues ,15:30
40248,HES 360,Laura Bruno,Tues Fri,12:30
40255,HES 405,Avery Faigenbaum,Mon Thurs ,09:30
40267,HES 410,Nicholas Ratamess,Mon Thurs ,12:30
40363,HES 480,Laura Bruno,,09:30
40259,HES 496,Noah Beller,Wed ,07:30
40250,HES 497,Jill Bush-Wallace,Tues ,16:00
40264,HES 497,Jie Kang,Wed ,16:00
40251,HES 498,Anne Farrell,Tues Wed Thurs ,17:00
40106,INB 260,Linghui Tang,Tues Fri,11:00
40194,IST 201,Leonard Niebo,Mon Thurs ,14:00
40197,IST 201,Leonard Niebo,Mon Thurs ,14:00
40195,IST 201,Lynn Braender,Tues Fri,11:00
40198,IST 201,Lynn Braender,Tues Fri,11:00
40196,IST 201,Manuel Montiel,Mon Wed ,17:30
40199,IST 201,Manuel Montiel,Mon Wed ,17:30
40200,IST 201,Lynn Braender,Tues Fri,09:30
40201,IST 201,Lynn Braender,Tues Fri,09:30
40190,IST 310,Patricia Wallace,Mon Thurs ,11:00
40191,IST 310,Patricia Wallace,Mon Thurs ,12:30
40203,IST 310,Patricia Wallace,Mon Thurs ,15:30
40192,IST 320,Abhishek Tripathi,Mon Thurs ,11:00
40193,IST 320,Abhishek Tripathi,Mon Thurs ,14:00
40204,IST 340,Lynn Braender,Tues Fri,14:00
40202,IST 350,Abhishek Tripathi,Mon Thurs ,15:30
42535,IST 400,Patricia Wallace,Mon ,17:00
40214,IST 400,Lynn Braender,Tues Fri,15:30
41853,MAT 101,Kellie Mckinney,Tues Thurs ,18:00
41883,MAT 102,Laura Holloway,Tues Fri,14:00
41874,MAT 105,Cathy Liebars,Mon Thurs ,11:00
41897,MAT 105,Cathy Liebars,Mon Thurs ,12:30
41875,MAT 106,Eric HWasserman,Mon Wed ,18:00
42457,MAT 114,Rachel Snider,Mon Thurs ,14:00
41894,MAT 119,Laura Holloway,Mon Wed ,18:00
41891,MAT 120,Suriza Van Der Sandt,Mon Thurs ,09:30
41895,MAT 120,Polly Dell'Omo,Tues Fri,11:00
41855,MAT 125,Daniel Twisler,Mon Wed ,18:00
41856,MAT 125,Daniel Twisler,Mon Wed ,19:30
41886,MAT 125,Thomas Hagedorn,Mon Thurs ,12:30
41886,MAT 125,Warner Johnson,Mon Thurs ,12:30
41889,MAT 125,Thomas Hagedorn,Mon Thurs ,14:00
41889,MAT 125,Warner Johnson,Mon Thurs ,14:00
41857,MAT 127,David Reimer,Mon Thurs ,11:00
41858,MAT 127,Jana Gevertz Fiorelli,Mon Thurs ,12:30
41860,MAT 127,Amanda Nicol,Tues Thurs ,19:30
41859,MAT 127,Amanda Nicol,Tues Thurs ,17:30
41879,MAT 127,Paul Kuehne,Mon Wed ,19:30
41885,MAT 127,Paul Kuehne,Mon Wed ,17:30
41861,MAT 128,Aigli Papantonopoulou,Mon Thurs ,14:00
41862,MAT 128,Aigli Papantonopoulou,Mon Thurs ,15:30
41863,MAT 128,Nicholas Battista,Tues Fri,08:00
41864,MAT 128,William Franczak,Tues Fri,15:30
41902,MAT 128,Charlie Ashton,Tues Fri,08:00
41866,MAT 128,Charlie Ashton,Tues Fri,09:30
41867,MAT 128,Christopher Holston,Mon Wed ,17:30
41877,MAT 128,Christopher Holston,Mon Wed ,19:30
